Days per month,Minuter per login,Lowest level completed,Customer added,Stories watched,Stories completed,Churn
18,71,5,44,703.9,587.9609134,0
22,83,6,32,731.4,570.474738,0
17,80,6,16,273,232.6457215,0
14,74,5,34,441.3,362.7367035,0
14,34,5,23,137.85,101.2166641,0
11,29,7,46,184.425,140.6539014,0
19,83,5,33,651.5125,491.1237613,0
3,92,6,23,80.35,63.34603678,0
11,89,5,37,453.7875,373.9910267,0
17,48,4,44,449.8,407.4397885,0
11,80,4,45,496,398.0308964,0
31,89,5,43,1483.9625,1267.169403,0
17,71,6,46,695.025,557.0769754,0
13,73,4,29,345.0125,270.7611436,0
5,93,5,45,262.5625,179.5027702,0
18,87,5,44,862.3,738.9210012,0
7,38,5,12,40.9,32.80435264,0
13,83,5,45,607.9375,491.4773662,0
16,91,5,45,820,657.1528612,0
15,76,6,44,628,490.5960085,0
9,46,4,22,114.85,95.28714766,0
2,97,4,34,83.45,70.44572708,0
12,61,6,30,275.5,215.0912803,0
17,127,5,22,594.725,428.1425505,1
12,80,6,39,469,369.1892308,1
19,79,3,35,657.6875,496.9791718,0
17,53,5,30,338.875,268.7826759,0
17,53,6,36,406.45,314.6406763,0
21,76,6,40,799,640.8765814,0
14,71,6,32,398.6,326.997564,1
11,86,5,42,497.65,418.9950511,0
9,86,4,34,329.95,253.4876823,0
0,8,5,44,1,0.802796624,0
16,90,5,42,757,581.1961036,0
17,46,5,40,392,300.8852906,0
31,43,4,44,734.15,570.4510883,1
21,92,4,40,967,751.2002997,0
30,47,6,27,476.875,404.5459697,0
14,52,5,35,319.5,256.4713538,0
10,81,5,39,395.875,322.6091581,1
17,77,4,38,622.775,458.8345127,0
8,78,4,42,328.6,238.2507173,1
8,100,4,46,461,432.8669227,0
15,42,6,45,355.375,271.5439062,0
18,83,5,35,654.625,497.8981393,0
30,57,5,23,492.625,418.8138012,0
23,79,7,44,1000.35,760.4257112,0
13,70,6,38,433.25,311.4698257,0
23,41,5,34,401.775,356.9772706,0
1,88,7,46,51.6,37.81786911,1
13,83,5,44,594.45,454.0860898,0
21,100,5,31,814.75,633.0018367,0
16,86,5,41,706.2,551.2874798,0
13,40,4,34,222,182.7663887,0
20,85,4,29,617.25,448.4234666,0
12,85,5,38,485.5,354.921481,0
15,51,4,18,173.125,129.1139435,1
27,74,6,35,875.125,717.7688084,1
15,89,4,37,618.4375,466.4229982,0
13,78,5,46,584.05,447.140583,0
11,86,6,46,544.95,434.3954479,0
15,12,6,34,77.5,61.87871321,0
9,49,4,36,199.45,157.4567832,0
19,84,4,19,380.05,289.2847749,0
11,45,6,46,285.625,223.1852391,0
24,91,5,30,820,587.7823241,1
8,78,7,44,344.2,278.4100249,0
9,76,6,45,385.75,310.1068706,1
14,44,5,46,355.2,297.0509664,0
19,84,5,35,699.25,553.6148024,0
12,79,4,39,463.15,368.669642,0
11,74,5,35,357.125,290.0635193,0
14,93,5,45,733.375,640.9954015,0
16,82,5,14,230.6,184.2481829,0
2,76,6,37,71.3,58.51949702,0
17,99,4,39,821.4625,639.1483727,0
18,74,6,44,733.6,575.1670509,0
8,72,5,46,332.2,285.2223413,0
14,43,5,22,166.55,122.3432903,0
19,72,6,46,787.6,657.008398,0
10,89,5,24,268,222.4009407,0
18,85,4,46,880.75,691.4306024,0
13,44,6,36,258.4,207.2202748,1
13,86,3,36,504.1,381.467182,0
10,85,6,29,309.125,284.2105624,0
17,64,6,37,504.2,392.2627349,0
15,81,6,44,669.25,543.8383173,0
13,73,6,44,522.95,413.9684114,0
13,6,4,41,40.975,34.15173763,0
10,30,5,4,16,11.95849663,0
19,48,6,22,251.8,188.8854544,1
16,71,4,41,583.2,431.4674387,0
28,52,5,28,510.6,404.354487,0
6,10,5,35,27.25,22.24942833,0
15,77,6,39,564.0625,384.8797475,0
20,88,4,39,859,698.6253613,0
20,82,4,29,595.5,474.5476999,0
18,38,6,44,377.2,301.940182,0
21,80,6,38,799,634.4625841,0
12,3,4,43,20.35,18.54612295,0
12,86,6,38,491.2,402.5833553,1
16,82,4,15,247,184.1155469,0
31,48,5,34,633.4,513.438612,0
15,83,4,45,701.3125,607.6367033,0
7,96,7,37,311.8,228.338188,1
16,31,5,46,286.2,209.073942,0
8,56,5,43,241.8,214.8464849,0
15,45,5,28,237.25,189.9816316,1
17,12,6,42,108.1,94.46557931,0
15,82,5,25,385.375,291.4008774,0
18,74,6,46,766.9,645.6238393,0
11,72,3,5,50.5,43.37800576,0
19,73,5,37,642.4875,455.2769969,0
20,43,5,46,495.5,406.4783003,0
17,90,5,45,861.625,664.4507008,0
14,77,6,35,472.625,367.2787103,1
14,7,6,38,47.55,41.21999933,1
14,73,3,41,524.775,413.1622776,0
9,72,5,38,308.8,252.7399038,1
14,99,4,30,520.75,413.4944584,0
15,50,5,41,385.375,302.7291256,0
21,82,5,39,840.475,691.3278664,0
20,39,6,46,449.5,310.3663425,0
10,76,6,30,286,205.5466937,1
8,93,6,15,140.5,109.0930714,0
8,69,5,28,194.2,158.3720177,1
19,86,5,41,838.425,684.5316428,0
14,89,5,43,670.725,468.1667689,1
15,9,5,45,76.9375,64.05247269,0
12,89,5,43,575.05,455.3734862,0
9,89,4,42,421.525,281.1441544,0
12,69,5,30,311.5,281.2038231,0
22,96,7,25,661,509.3694072,0
25,97,4,37,1122.5625,875.546363,0
15,94,6,46,811.75,686.0494936,0
16,44,5,35,309,247.3319849,0
4,91,6,15,69.25,55.87974371,0
13,79,5,23,296.2625,233.7693702,0
22,94,4,43,1112.55,957.9789641,0
17,48,4,41,419.2,323.5950174,0
17,79,5,34,571.775,474.6311882,1
22,81,5,45,1003.375,857.7124859,0
23,39,7,40,449.5,333.3608469,0
11,42,4,38,220.45,185.0877972,0
13,88,5,40,573,475.8068206,0
26,99,5,33,1062.775,865.5588202,0
11,88,4,46,557.6,426.2997316,0
27,93,5,42,1319.275,1106.503773,0
16,43,6,36,310.6,254.0437318,0
3,94,4,39,138.475,110.996504,0
23,80,7,43,990,855.906882,0
21,82,5,23,496.075,430.262893,0
9,47,5,29,154.3375,123.7124009,0
27,84,5,42,1191.7,992.0766773,0
19,91,7,44,951.95,798.4325442,0
1,36,5,46,21.7,17.32503402,1
16,49,5,43,422.4,336.6932652,0
11,81,5,45,502.1875,384.4792487,0
12,70,5,45,473.5,430.3128318,0
15,106,4,40,796,653.2759313,0
11,50,3,34,234.75,181.5206708,0
14,87,3,26,396.85,304.7681676,0
20,81,6,30,608.5,496.8735535,0
17,37,5,28,221.15,184.3201496,0
26,71,6,32,739.4,672.7770061,0
15,78,7,41,600.625,452.7665623,0
14,99,5,30,520.75,443.3747251,0
12,40,4,16,97,78.34424116,0
14,40,5,44,309,244.5864688,1
20,82,6,39,800.5,700.2713989,0
9,70,5,43,339.625,276.0060712,0
17,97,6,34,701.825,506.4290744,1
12,48,6,35,253,205.8286655,0
20,76,4,45,856,630.0520009,0
21,53,5,42,585.325,446.2407101,0
22,80,7,0,1,0.84063767,0
16,80,6,42,673,572.4462764,1
25,75,4,44,1032.25,803.3251809,0
24,76,5,32,730.6,632.2369834,0
13,9,5,39,58.0375,50.42567864,1
15,43,6,44,355.75,318.679977,0
20,93,5,34,791.5,631.5867141,0
17,80,7,33,562,448.1390754,1
14,56,5,22,216.6,190.9572728,0
14,71,4,45,560.125,412.4430724,0
27,75,4,40,1013.5,768.6755477,0
15,42,4,46,363.25,269.967595,0
16,45,5,44,397,299.355004,0
12,89,7,40,535,455.7006148,0
9,76,4,36,308.8,269.0257703,1
11,94,4,46,595.55,493.7886472,0
16,90,6,41,739,548.1498934,0
14,47,6,29,239.525,183.0148725,0
14,49,5,21,181.075,158.1397352,0
12,84,6,8,101.8,73.76843197,0
12,78,4,46,539.2,412.7254405,0
10,80,5,46,461,377.0182812,0
24,83,6,44,1096.6,932.6396256,0
14,73,7,33,422.575,347.5162823,0
13,86,4,43,601.925,458.250443,0
16,88,5,35,617,536.9300143,0
12,4,5,43,26.8,21.00232989,1
4,41,6,38,78.9,64.84164715,0
17,70,4,38,566.25,448.9374518,0
18,71,5,24,384.4,291.8313514,0
2,105,6,30,79.75,57.79295009,1
17,33,5,24,169.3,134.3029757,0
31,110,5,44,1876.5,1581.771877,0
10,45,6,39,220.375,168.983688,0
6,87,8,34,222.85,182.6193232,0
25,42,4,28,368.5,314.5940247,0
18,91,5,25,512.875,408.8179656,1
18,91,4,44,901.9,691.2270449,0
9,88,3,42,416.8,330.2680873,0
7,91,7,29,231.9125,185.9981498,0
13,87,5,29,410.9875,324.6238966,0
19,92,7,25,547.25,423.3637009,1
11,81,5,38,424.225,342.6431632,0
12,88,7,42,555.4,502.6518235,0
19,76,6,36,650.8,576.9725161,0
9,82,6,34,314.65,259.6387977,0
13,41,4,41,274.1625,245.097239,1
29,92,7,43,1435.05,1145.050717,1
26,81,7,45,1185.625,934.5369105,0
16,75,5,26,391,319.8507445,0
10,73,6,20,183.5,152.7447342,0
20,96,5,38,913,667.277803,0
0,38,4,41,1,0.813143449,1
17,96,5,33,674.2,548.5591118,0
26,81,7,46,1211.95,1007.648672,0
16,72,4,43,620.2,488.8078135,1
18,90,5,32,649,507.6259632,0
14,63,6,32,353.8,274.6593792,0
18,54,5,46,559.9,407.3460682,0
16,91,3,20,365,295.0883748,0
20,10,5,44,111,94.90463357,0
10,47,5,37,218.375,179.0691387,0
0,53,2,43,1,0.722113723,1
23,42,6,33,399.475,307.5669573,0
13,87,5,34,481.675,378.8871435,0
11,92,4,41,519.65,469.1899285,0
16,88,5,45,793,646.6358778,0
15,75,5,27,380.6875,322.0276293,0
9,38,5,29,124.975,95.63657996,1
9,95,5,46,492.625,360.2269172,0
18,73,5,41,674.425,568.5936309,0
9,64,6,44,317.8,266.8965592,0
11,98,7,46,620.85,462.1700185,0
0,84,6,39,1,0.774619779,1
16,31,5,24,149.8,109.1559524,0
11,13,6,45,81.4375,63.90112316,0
15,94,4,43,758.875,579.9045673,0
11,95,5,39,510.4375,398.0232189,0
11,89,4,14,172.325,138.4477309,0
15,87,5,45,735.0625,599.2844736,0
14,53,6,38,353.45,295.8892473,0
13,85,5,36,498.25,428.4813344,1
10,67,7,45,377.875,318.0818364,0
22,79,5,44,956.9,826.8681154,0
14,87,5,43,655.675,525.9271386,0
9,48,3,37,200.8,167.2850124,0
19,44,5,30,314.5,252.7230391,0
10,98,4,43,527.75,427.774143,0
21,83,4,46,1003.225,792.5933664,0
26,45,4,41,600.625,493.3287765,0
10,96,4,43,517,413.3769118,0
11,46,7,42,266.65,202.2318232,1
17,76,5,43,695.45,543.013569,1
10,78,4,46,449.5,333.0684373,0
16,53,5,40,425,361.0952188,0
17,106,6,40,902,774.6144972,0
18,37,4,46,383.95,309.6639914,0
16,46,5,22,203.4,169.2954936,0
12,43,4,44,284.8,201.5356747,0
20,70,6,44,771,673.4446467,1
11,47,5,0,1,0.884408849,0
14,59,6,41,424.325,310.2302162,0
13,93,5,26,393.925,296.3259301,0
16,48,6,36,346.6,293.2668957,0
15,37,4,43,299.3125,231.2930873,0
19,74,5,44,774.3,582.6297077,0
8,40,4,41,165,122.6237827,0
6,103,5,39,302.275,270.9805301,0
10,93,3,38,442.75,373.9370209,0
31,95,5,42,1547.125,1048.865588,0
19,52,5,20,248,205.9151925,0
8,82,5,45,370,278.1995729,0
17,82,5,29,506.325,410.0662994,0
22,44,7,44,533.4,423.5999248,0
12,36,5,22,119.8,101.0198311,0
14,79,5,39,540.175,433.8116224,0
17,74,6,32,504.2,379.5715946,0
10,102,6,45,574.75,452.5679414,0
7,86,6,46,347.15,284.0759836,0
11,80,5,44,485,356.3939871,0
4,95,3,19,91.25,72.23226745,0
22,84,6,41,948.1,722.4937216,0
9,56,5,37,234.1,193.6289002,0
11,77,6,44,466.85,412.9271783,0
11,84,5,37,428.35,351.2760164,0
4,72,4,41,148.6,105.2301387,0
8,52,4,26,136.2,109.3424434,0
17,76,6,8,130.2,113.7156006,0
13,81,5,38,501.175,344.1297822,1
11,76,5,41,429.45,337.4671981,1
15,48,4,44,397,314.2334211,0
11,77,7,43,456.2625,343.3029377,1
15,84,5,12,190,144.3100067,0
23,83,5,37,883.9125,721.2773738,0
28,38,5,42,559.6,421.0359883,0
23,53,7,41,625.7375,500.8573819,0
14,47,5,41,338.225,257.1784143,0
15,41,4,13,100.9375,82.94637504,0
19,46,7,30,328.75,235.8736278,1
12,96,6,45,649,537.6063898,0
15,86,6,25,404.125,330.2251161,0
15,92,5,42,725.5,567.379491,0
16,38,5,46,350.6,273.8740762,0
19,86,4,44,899.7,704.9866591,0
16,91,5,43,783.6,642.626799,0
17,82,5,29,506.325,396.9116964,0
21,40,6,30,316,258.6426217,0
13,88,4,40,573,469.0983728,0
28,93,5,40,1303,1021.111391,0
11,70,6,36,347.5,271.9627362,0
14,82,7,46,661.1,528.3079804,0
23,85,5,42,1027.375,847.9965683,0
13,47,3,35,268.3125,208.5608884,0
15,44,4,44,364,272.3153843,0
14,78,5,38,519.7,419.852801,0
13,92,2,7,105.65,90.91762177,0
15,54,3,41,416.125,323.5049573,0
10,100,5,43,538.5,409.0163776,0
11,113,4,6,94.225,73.11542642,0
10,98,4,39,478.75,398.4830977,0
14,44,6,44,339.8,259.5381567,0
17,85,4,46,831.875,612.8218933,0
13,77,6,44,551.55,405.9683571,0
15,80,5,31,466,333.2427046,0
14,30,5,37,195.25,135.7875467,0
10,99,5,42,520.75,413.7388909,0
13,90,5,12,176.5,145.1983673,0
30,49,5,34,625.75,520.9333819,0
17,95,7,45,909.4375,754.5199119,1
13,77,5,42,526.525,423.0217699,0
27,44,4,43,639.55,464.7071451,0
19,88,6,37,774.3,633.8848537,0
22,91,5,32,801.8,560.1098248,0
10,87,4,44,479.5,370.6637964,0
12,8,3,42,51.4,41.2551176,1
8,93,5,40,373,300.7206744,0
5,88,6,41,226.5,188.4239621,0
29,91,6,44,1452.45,1146.925102,0
13,79,6,45,578.6875,509.7824815,1
17,74,5,37,582.825,485.239359,0
14,69,6,43,520.225,420.8395924,0
27,80,5,46,1243,1072.231322,0
20,33,6,28,232,196.3704961,0
15,82,4,43,662.125,501.5009425,0
24,51,4,37,567.1,485.9465698,0
18,39,4,23,202.825,146.8006966,0
17,74,4,15,236.875,179.4114865,0
15,87,4,34,555.625,455.2171609,1
14,42,5,46,339.1,300.1095076,0
12,76,5,21,240.4,208.7805457,0
18,87,6,27,529.525,452.0812758,0
18,64,4,45,649,533.5394008,0
13,5,6,45,37.5625,29.86025724,1
23,86,4,46,1138.35,974.8417729,0
30,84,5,27,851.5,667.8600083,0
21,101,4,46,1220.575,1041.269043,0
16,84,4,31,521.8,371.733134,0
19,78,5,25,464.125,389.5004224,0
20,79,4,25,494.75,440.9365419,0
11,76,5,43,450.35,360.0666565,0
23,48,5,46,635.8,484.9618047,0
19,77,6,43,787.3625,676.417143,0
12,48,5,15,109,88.93931766,0
19,74,3,29,510.675,396.1619861,0
16,39,5,21,164.8,142.0531884,1
19,79,4,45,845.3125,690.8839598,0
19,78,5,46,853.15,649.4643452,1
30,81,5,45,1367.875,1157.16318,0
9,48,6,39,211.6,186.3354099,0
10,86,3,37,398.75,285.9083692,0
27,63,6,44,936.55,783.756971,0
14,55,7,37,357.125,289.6302008,0
19,32,7,30,229,187.5413001,0
16,40,7,32,257,211.1768904,0
16,109,5,14,306.2,246.7112914,0
12,76,6,25,286,238.3475622,0
29,85,3,27,832.9375,648.3645947,0
7,87,4,0,1,0.792873775,0
21,99,5,42,1092.475,1014.000752,1
11,88,4,46,557.6,458.1071081,0
16,5,5,10,11,9.05688291,0
17,100,6,46,978.5,759.659511,0
19,41,5,40,390.5,318.2424757,0
6,89,7,41,274.675,196.6337176,0
14,42,6,42,309.7,230.0078584,0
9,84,3,41,388.45,283.2857515,0
23,41,5,41,484.2875,410.7762094,1
11,98,4,7,95.325,79.30745315,0
9,45,6,38,193.375,162.9177415,1
28,40,4,43,603,531.014452,1
17,91,4,31,600.4625,484.2900688,0
15,73,5,25,343.1875,273.4478336,0
5,71,4,44,196.25,174.9209962,0
12,65,5,42,410.5,337.6290175,0
18,88,4,45,892,735.1576393,0
21,45,3,43,508.9375,404.3374924,0
15,11,5,41,85.5625,73.7323591,0
9,76,4,44,377.2,318.3341838,0
23,87,4,39,976.4875,805.4727676,0
14,88,5,45,694,590.7594176,0
6,42,4,0,1,0.834781994,0
0,42,5,35,1,0.807046396,1
11,48,3,45,298,257.0279868,0
15,99,6,39,724.9375,618.5216759,0
10,73,6,42,384.25,308.6154484,0
17,51,4,45,488.6875,411.7313191,0
12,81,5,19,231.85,199.236606,1
24,47,4,42,593.2,459.2798453,0
10,45,6,32,181,144.7340177,0
13,68,5,43,476.15,357.117912,0
17,53,5,44,496.55,381.1342005,1
22,89,4,37,906.575,696.6761657,0
19,45,7,41,439.1875,347.0941501,0
15,44,5,41,339.25,296.6545221,0
15,83,5,9,141.0625,107.4475915,0
18,88,6,44,872.2,747.2712447,0
20,39,4,26,254.5,205.2306881,0
29,73,6,42,1112.425,802.0284367,0
10,38,5,33,157.75,129.006467,0
14,43,4,40,302,270.1117628,0
5,46,6,41,118.875,98.99404641,0
8,85,5,44,375,286.1722401,0
23,80,5,46,1059,915.3717586,0
22,83,5,34,777.05,605.1072247,1
14,33,3,38,220.45,172.3695821,0
17,85,4,45,813.8125,643.1037317,0
11,101,4,45,625.9375,515.5680311,0
10,37,6,45,209.125,179.2066232,0
17,93,3,45,890.3125,734.3771695,0
4,37,6,33,62.05,55.4157587,0
17,83,3,46,812.325,684.5100236,0
20,37,5,38,352.5,287.6269577,0
19,94,4,33,737.725,587.2687419,0
26,90,6,45,1317.25,1087.299768,0
9,42,4,34,161.65,130.1591399,0
15,96,5,45,811,728.7480544,0
12,96,5,45,649,535.3297596,0
14,54,5,33,312.85,237.1959421,0
16,98,5,45,883,773.2957725,0
12,91,4,41,560.65,476.4138675,0
17,8,4,42,72.4,63.74988648,0
23,45,4,34,440.875,337.899161,0
22,41,7,38,429.45,361.1911412,0
11,71,4,35,342.6875,277.2304895,0
18,83,4,21,393.175,329.8163761,0
24,35,5,32,337,257.5793991,0
15,108,5,45,912.25,702.4324107,0
14,47,6,44,362.9,282.5451446,1
25,78,5,42,1024.75,787.2948014,0
17,95,5,44,889.25,701.6155325,0
18,30,4,32,217,190.4271187,0
17,98,6,41,854.825,712.7762835,0
15,75,5,31,436.9375,376.1401449,0
11,77,6,45,477.4375,361.5011948,0
12,54,6,42,341.2,295.8448964,0
31,96,5,33,1228.6,915.8264637,0
13,93,6,44,665.95,595.5701164,0
16,92,5,42,773.8,662.0213033,0
18,82,4,43,794.35,665.6111151,0
17,47,4,34,340.575,233.4565653,0
19,93,4,46,1017.025,878.8131413,0
2,93,5,37,87.025,66.66510931,1
15,76,4,43,613.75,519.9924871,0
2,51,5,42,54.55,49.0301675,1
14,76,5,44,586.2,453.9619447,0
31,43,5,12,200.95,162.7809902,1
11,82,4,38,429.45,324.3094499,0
13,87,6,38,538.225,451.0521764,0
30,6,4,36,82,69.38238793,0
19,69,4,46,754.825,595.3655867,0
10,82,2,44,452,354.3911172,0
26,53,4,44,758.9,609.0296013,1
12,50,5,38,286,222.7179902,0
14,45,4,43,339.625,298.9627142,0
15,44,7,43,355.75,272.2836873,1
9,73,5,46,378.775,288.919145,0
20,72,4,38,685,568.3483681,0
12,52,4,46,359.8,300.9881666,0
12,56,4,41,345.4,270.4303973,0
22,84,4,45,1040.5,819.4777573,0
18,45,4,36,365.5,276.1413088,0
13,83,5,26,351.675,301.4658442,0
9,78,4,38,334.45,262.6781435,0
22,51,4,41,576.025,443.8377699,0
11,78,5,45,483.625,372.4672011,0
18,103,5,45,1043.875,823.0123015,0
9,72,4,42,341.2,245.7454912,0
18,76,4,41,702.1,609.6945407,0
21,76,5,38,759.1,565.0181531,0
15,74,5,41,569.875,421.9818145,0
15,97,5,44,801.25,534.8577665,1
18,86,5,44,852.4,688.1074477,0
8,39,4,18,71.2,49.46385614,0
31,77,5,39,1164.6625,917.126885,1
18,71,4,18,288.55,244.4507997,0
21,82,4,33,711.325,585.120304,0
11,93,5,43,550.8625,447.7943806,0
12,50,7,46,346,251.7828054,1
21,92,5,43,1039.45,913.7100888,0
14,30,5,38,200.5,151.5500386,0
18,75,5,42,709.75,573.8971136,0
16,49,4,45,442,342.683704,0
20,77,6,38,732.5,621.3666729,0
14,66,7,34,393.7,305.6509267,0
10,72,5,46,415,331.6480136,0
15,71,4,29,387.0625,312.5035412,0
9,86,5,31,300.925,227.2167408,0
12,81,3,40,487,377.4880205,0
2,81,5,46,94.15,74.01593893,1
14,70,3,46,564.5,434.0029764,0
9,77,5,40,347.5,254.6609231,0
9,46,5,42,218.35,172.5124728,1
24,94,5,46,1298.2,1099.549467,0
26,93,4,40,1210,898.7438344,0
22,95,5,40,1046,796.8390833,0
18,84,4,39,738.1,619.6070984,0
24,44,5,29,383.8,296.975535,0
18,34,5,20,154,107.6631771,0
29,49,4,40,711.5,562.7688289,0
22,80,4,3,67,54.02764682,1
19,34,5,43,348.225,312.7008395,0
13,39,7,12,77.05,70.93660261,0
11,73,6,44,442.65,331.1903082,0
15,76,4,39,556.75,440.7831464,0
3,89,5,40,134.5,114.4103292,0
17,82,5,44,767.7,661.6816152,0
13,93,5,33,499.7125,397.3816581,0
31,84,6,41,1335.55,930.8095903,1
16,43,6,46,396.6,307.5691906,0
14,70,5,41,503.25,404.3895184,0
27,71,6,35,839.6875,691.0076632,0
0,45,4,34,1,0.819515045,0
1,85,6,39,42.4375,32.79847572,0
13,77,5,37,463.9625,393.4447732,0
18,69,4,40,622,536.709501,0
13,74,5,36,433.9,310.9100377,0
17,81,6,36,620.65,500.7764267,0
13,69,4,33,371.0125,270.9604672,0
2,77,6,43,83.775,65.21737153,0
0,44,5,46,1,0.837237624,0
10,53,6,46,305.75,224.3103209,0
16,102,5,29,592.6,459.2328663,0
29,56,6,11,224.3,171.5304797,0
16,50,4,35,351,277.168438,0
10,99,5,44,545.5,433.8319715,0
14,73,3,45,575.875,433.2001172,0
16,74,5,45,667,525.7903298,0
14,46,3,46,371.3,264.9993438,0
8,74,5,34,252.6,216.1842629,0
17,90,6,41,785.125,623.6675479,0
20,54,5,44,595,473.483184,0
26,78,4,45,1141.75,892.4170598,0
19,42,7,39,390.025,316.137807,0
15,46,4,43,371.875,292.9169661,0
11,76,4,41,429.45,351.4083075,0
14,77,4,37,499.575,335.8887155,0
11,73,4,37,372.3875,313.0584989,0
29,80,5,17,494,417.2608873,0
29,66,5,45,1077.625,863.1769446,0
22,97,4,42,1121.35,940.4027073,0
18,47,5,7,75.025,51.67539991,0
18,43,5,20,194.5,163.4306975,0
9,53,6,46,275.275,215.4385721,0
25,68,5,39,829.75,640.1830653,1
10,58,3,34,247.5,179.3122508,1
18,93,6,44,921.7,731.0906556,0
11,76,6,41,429.45,327.0208079,0
7,93,4,23,188.1625,159.4722637,0
21,43,4,13,147.7375,116.5749838,0
11,90,5,34,421.75,335.0683318,0
13,79,6,44,565.85,410.8880179,0
20,43,3,30,323.5,259.552891,0
27,79,6,42,1120.825,975.7892529,0
18,69,6,19,295.975,236.7570004,1
18,83,4,38,710.65,564.1282908,0
14,85,4,44,655.5,550.2791718,0
16,38,4,33,251.8,186.8424899,0
